measures,,ID,countx,Repeats or deletes,Data Name,Target No.,Group Traits,L*(D65),a*(D65),b*(D65),dL*(D65),da*(D65),db*(D65),dE*ab(D65),Judgement,360nm,370nm,380nm,390nm,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,710nm,720nm,730nm,740nm,ID,count,Idx,countx
7,Palm,163,3,,163_#0003,------,SCE,66.71,5.52,13.77,------,------,------,------,------,20.82,20.82,20.82,20.82,20.82,20.55,20.29,20.77,23.02,26.88,29.76,31.19,32.05,32.79,33.65,34.4,34.72,34.35,33.65,33.35,33.7,34.17,35.42,38.98,43.52,46.84,48.73,49.75,50.42,50.96,51.37,51.98,52.57,53.11,53.46,53.46,53.46,53.46,53.46,163,3,163,3
7,Forearm_inner,163,4,,163_#0004,------,SCE,63.74,8.63,20.26,------,------,------,------,------,13.96,13.96,13.96,13.96,13.96,14.38,14.76,15.69,17.65,20.09,21.93,23.31,24.5,25.7,27.09,28.5,29.28,29.32,29.4,30.14,31.17,31.49,32.81,37.56,42.33,45.27,47.03,48.21,49.17,49.99,50.67,51.37,51.97,52.49,52.82,52.82,52.82,52.82,52.82,163,4,163,4
7,Tricep,163,5,,163_#0005,------,SCE,66.58,7.11,18.71,------,------,------,------,------,16.71,16.71,16.71,16.71,16.71,16.84,16.9,17.61,19.99,23.64,26.48,28.12,29.3,30.35,31.64,32.89,33.58,33.44,33.07,33.17,33.89,34.4,35.97,40.56,45.59,48.95,50.79,51.84,52.58,53.2,53.7,54.27,54.78,55.19,55.45,55.45,55.45,55.45,55.45,163,5,163,5
7,Shoulder,163,6,,163_#0006,------,SCE,63.84,13.66,14.73,------,------,------,------,------,18.96,18.96,18.96,18.96,18.96,18.76,18.56,19.23,21.14,23.24,24.79,26,26.94,27.92,29.13,30.15,29.84,28.33,27.33,27.81,28.62,27.81,28.54,36.24,45.51,51.1,54.02,55.63,56.69,57.52,58.15,58.83,59.44,59.99,60.31,60.31,60.31,60.31,60.31,163,6,163,6
7,Cheek_L,163,7,,163_#0007,------,SCE,61.97,16.05,14.02,------,------,------,------,------,17.8,17.8,17.8,17.8,17.8,17.59,17.42,18.03,19.78,21.78,23.31,24.56,25.55,26.46,27.46,28.23,27.46,25.5,24.3,24.82,25.61,24.63,25.24,33.54,44.14,50.67,54.01,55.83,57,57.92,58.51,59.21,59.85,60.4,60.69,60.69,60.69,60.69,60.69,163,7,163,7
7,Cheek_R,163,8,,163_#0008,------,SCE,65.27,12.07,16.58,------,------,------,------,------,20.08,20.08,20.08,20.08,20.08,19.13,18.48,19.08,21.24,23.68,25.32,26.55,27.47,28.45,29.94,31.39,31.61,30.57,29.81,30.14,30.92,30.59,31.7,38.8,46.63,51.47,54.45,56.06,57.13,57.94,58.54,59.29,59.94,60.56,60.93,60.93,60.93,60.93,60.93,163,8,163,8
7,Forehead,163,9,,163_#0009,------,SCE,64.74,9.29,16.31,------,------,------,------,------,18.45,18.45,18.45,18.45,18.45,16.9,16.14,16.57,18.94,23.15,26.3,28.25,29.49,30.49,31.76,32.9,32.53,30.46,28.74,29.04,29.89,28.83,29.86,37.37,45.42,50.01,52.08,53.01,53.45,53.74,53.97,54.51,55.09,55.65,55.91,55.91,55.91,55.91,55.91,163,9,163,9
21,Palm,140,2,,140_#0002,------,------,63.66,7.5,15.81,------,------,------,,------,17.78,17.78,17.78,17.78,17.78,16.22,15.49,15.87,18.05,22.22,25.59,27.69,28.75,29.57,30.84,31.91,31.73,30.13,28.51,28.12,28.53,28.31,29.5,34.57,40.96,45.88,48.61,49.98,50.82,51.44,51.88,52.55,53.32,54.03,54.41,54.41,54.41,54.41,54.41,140,2,140,2
21,Forearm_inner,140,3,,140_#0003,------,------,64.86,6.7,18.59,------,------,------,,------,15.17,15.17,15.17,15.17,15.17,15.17,15.16,15.74,17.96,21.97,25.17,26.93,28.04,28.99,30.1,31.07,31.59,31.48,30.94,30.75,31.4,32.46,34.18,37.7,42.18,45.49,47.76,49.08,50.08,50.86,51.54,52.3,53.12,53.85,54.37,54.37,54.37,54.37,54.37,140,3,140,3
21,Tricep,140,4,,140_#0004,------,------,62.59,8.27,20.57,------,------,------,,------,12.74,12.74,12.74,12.74,12.74,13.04,13.32,14.07,15.94,18.82,21.17,22.69,23.88,24.95,26.2,27.32,28.03,28.13,28.13,28.52,29.41,30.22,31.87,35.77,40.15,43.28,45.19,46.45,47.45,48.34,49.07,49.83,50.55,51.19,51.63,51.63,51.63,51.63,51.63,140,4,140,4
