ID,Average_L,Average_a,Average_b,SD
101,9.050146103,0.678744318,3.099974635,0
102,7.357084276,1.609014988,-0.513556478,0
103,12.07927513,-0.314378735,-3.357292178,0
104,9.090400696,-0.776564598,-0.712220194,0
106,10.53157043,-0.027310371,-1.835215568,1
107,13.4917202,-2.478651051,0.657678601,1
108,7.293237683,2.757679461,5.213387492,1
109,12.46846962,-0.549423213,-1.509021753,0
110,10.29103852,-1.659623147,-2.833663942,1
111,5.1633606,1.321171758,1.663475039,1
112,3.637889866,3.784185406,3.98281622,0
115,1.341300963,0.433699134,1.317879677,1
116,5.703121184,3.352181435,6.251158715,1
117,4.403215411,2.796110159,4.473640446,0
119,12.47276497,-1.905496601,-2.993215566,0
120,8.401218409,-1.142642025,1.135890014,1
121,4.915353773,1.583999634,5.442454337,0
122,8.991193772,-0.317727092,0.688087468,1
123,3.888357161,3.576881403,2.937005047,1
124,9.928722384,2.029353146,-1.536246298,1
125,8.398265838,-0.107715606,-0.415737152,1
126,5.34409523,5.312314989,1.943459987,1
127,10.5551014,1.003710749,-1.6503582,1
128,6.363481517,-0.202230452,1.533741955,0
129,8.877429961,1.658707615,-0.440641405,0
130,5.139200213,2.636762143,2.98900795,1
131,8.220781323,-0.332729344,1.196886061,1
132,5.64864921,2.585511205,1.335256096,0
133,7.630731579,0.913768773,1.461644177,0
134,8.451354978,2.109581946,1.117469792,0
135,13.77504158,-1.465739255,2.994524951,1
136,3.529134753,4.304861069,5.756387715,1
137,8.258169172,0.911861423,4.756263729,0
138,3.89363861,2.051648136,2.535858158,0
139,9.129093166,-0.383828168,1.451850889,0
140,8.577531815,1.626281733,0.803218842,0
143,5.311124802,1.016428951,2.800783158,1
144,8.106374741,-0.755474087,2.040450101,1
145,4.214372637,1.827284814,4.438717847,1
146,4.916915895,1.728975297,-0.177758687,1
147,7.457592006,2.7819252,2.112552639,1
149,5.217258453,3.135928156,1.811048028,0
151,5.172416687,2.761318207,3.127631671,0
152,7.365505223,-0.734603889,1.62292242,1
153,4.166250226,3.29431343,4.265833857,1
154,7.205181125,1.414270874,-1.116577152,0
155,8.149063112,1.112303732,2.345890994,0
156,6.207958221,1.416218757,0.804479597,0
159,9.832170485,-0.421380042,1.452181818,0
160,4.622678761,1.825460439,2.562141422,0
161,15.46655273,-1.551333425,7.839457511,0
162,10.01275444,0.307080269,2.274535654,0
163,8.076131814,0.831665994,-0.504100794,0
164,8.827934271,1.054541587,0.490606305,0
165,3.312885281,1.363279345,1.451607231,0
166,7.120317458,1.2256546,0.653039936,1
167,10.35333824,-2.238584516,3.009297854,1
168,7.008632657,-1.01122379,3.3112073,0
171,10.4939785,1.57567501,5.784345629,1
172,6.492553709,0.166584013,3.928608892,1
173,10.03011894,1.511199948,2.394635198,0
174,8.335212702,-0.947015762,-2.430351255,1
175,7.536685941,2.289347648,5.826519013,1
176,9.850725176,-0.971920964,-1.538956637,1
177,10.68840599,-0.647645956,4.722412111,1
178,5.708879472,2.107526781,1.688581939,1
179,5.5418663,-1.175518986,1.075666423,0
180,5.501411441,2.894181256,4.947959899,0
181,3.540706637,1.70923662,4.90445614,0
182,4.852594376,1.211827282,0.176766397,1
183,7.117092131,1.74095917,1.067522048,0
184,14.11269951,-2.015997886,-1.044541362,0
185,8.893972392,-0.01020145,1.852476118,0
186,7.215662003,1.399210934,1.865437508,0
187,11.91666412,1.032500264,6.369760519,0
188,2.083478924,4.054812908,6.020966536,0
189,10.07379722,-0.744498255,1.000033383,1
190,8.148460393,0.590785985,-0.323242191,1
191,7.01448441,0.944318768,1.827688216,0
192,6.898656843,3.339182848,1.181470876,1
193,6.299610139,2.909576416,3.106794361,1
194,8.073564534,-0.013018608,1.117308616,1
195,5.492740634,3.902662279,3.45904255,0
196,9.818923949,-0.809287074,-0.237280372,0
197,3.230861669,4.218461993,5.110684395,0
198,1.64145661,3.761027812,1.040726665,0
201,6.890008929,1.854819296,2.792477602,0
202,2.741428378,4.991056919,3.113524912,0
203,7.058563233,-0.048123362,2.904201507,1
204,3.801189424,2.689545629,5.138728148,0
205,6.130935673,2.516801837,-1.349828717,1
206,0.922399518,7.970582955,4.856819149,1
207,9.352874759,0.838431361,-1.132861134,0
208,7.960161216,0.094308379,-3.849495885,0
209,10.57316017,-0.018195154,-1.180180544,0
210,8.650194165,-1.123164652,1.392516139,0
211,3.423343663,2.078474045,3.088098047,1
212,9.423110956,0.415890698,2.841585155,1
213,8.463531492,1.762206077,2.634593492,1
214,8.326902387,0.367150307,1.984776977,1
215,10.64553833,-0.202195165,0.746420387,0
216,8.76919556,1.656658648,-2.221045496,0
217,13.24835206,-2.125177382,1.537605287,1
218,12.61139679,-1.252277371,1.294114111,1
219,5.92646789,1.42664099,1.021070479,0
220,3.627714156,4.804211618,3.374122622,0
221,5.982900621,2.120271682,-0.820405006,1
222,10.08130455,1.38524294,-0.606725215,1
223,9.024583812,0.675076487,1.388778688,0
224,8.891653064,1.093065267,-0.34101391,0
226,10.62542343,1.116739275,0.330579755,1
228,9.503021241,-1.090888023,1.943725583,1
229,5.889284139,3.071841235,3.220026015,0
230,7.010622027,1.232836727,2.249341962,0
232,9.92368507,-1.304797172,-2.111917499,1
233,10.95377541,-0.505361558,2.855811117,1
235,8.194324492,1.036061293,2.575886721,1
236,2.537870405,3.650381087,0.627504346,1
238,7.747322086,2.883892062,-1.51633262,0
239,6.305830006,2.193428994,-0.795024874,1
240,2.963983533,4.113350871,2.441078662,1
241,11.09356308,0.967722896,3.687403683,0
242,12.22249794,0.614564901,0.724771499,0
243,0.401937488,1.584575647,-0.631218915,1
244,7.888839719,0.893527984,-2.182739257,1
245,5.814661027,3.620923047,5.444230076,1
246,9.473676682,1.238631254,0.497465138,0
247,10.30303001,-0.955142016,0.464136125,1
248,4.05466843,3.003770827,2.210052487,1
249,4.254283902,2.363647463,1.985536575,0
252,6.087768556,0.357296946,4.490149501,1
253,7.768764498,0.87244034,-0.121212003,0
254,8.662355427,0.310293193,-3.148362155,0
255,7.118053438,2.07979298,5.256580359,0
256,4.730625151,2.609008308,4.737367626,1
257,7.742410656,3.521857257,0.902118685,1
258,7.375293734,3.414835931,1.843574525,0
259,10.39624214,0.277726168,-1.218285559,1
260,6.221878054,1.685662746,0.903047556,0
263,4.36849404,0.64436054,5.925835613,1
264,4.864400861,0.628644945,0.047060962,1
265,9.31707573,-1.318999293,0.128678326,1
266,4.22012711,2.772190098,2.889729506,1
267,8.449529649,0.271075243,-0.632248873,0
268,3.018365861,5.15689898,4.178804394,0
269,7.698955532,1.4812212,-1.404663088,0
270,12.92424965,-0.601220124,0.734270101,1
271,3.130481719,3.811210633,2.528266905,1
272,4.150569914,1.176847465,3.67662907,1
274,8.077775952,-1.02880573,-1.896550175,0
275,1.573478699,3.452874183,4.802198887,1
276,11.03452301,-0.220513346,0.718218806,0
278,7.930616384,0.718057633,2.306489943,0
279,6.397869108,-1.61018276,-0.960949899,1
280,5.569652555,1.331132885,0.476573939,0
281,6.761106497,-0.017321586,1.683877945,1
282,9.202741624,1.130249979,7.932401662,0
285,-1.803602223,2.977536202,7.921580316,0
286,6.067945482,0.201479907,3.107676506,1
287,7.455965038,0.160658842,-5.579454422,0
288,4.423833849,1.53188801,-1.090278624,0
289,4.808309551,-2.05931854,3.037741656,0
290,9.613117219,-0.378478524,0.310732836,1
291,12.90839577,-0.506083489,5.521550184,1
292,4.641719813,3.126690868,4.766519553,1
293,4.89640999,0.642484666,2.633149623,0
297,11.02585411,-1.835007671,0.024798389,1
298,5.156940465,1.82586241,1.492894173,1
301,4.597368245,0.580256459,2.800038341,1
302,8.345972063,0.670817379,4.658092496,1
305,3.150018685,2.861733441,6.440810681,0
306,8.390491481,0.293725493,4.857924465,0
417,7.932321544,-0.109303004,0.217947007,1
418,8.593820575,0.785195827,2.04290772,1
425,5.426155095,1.733950135,3.164081093,1
431,6.228391641,1.483788492,-0.306707381,0
433,9.509735102,1.758507727,1.833425516,1
451,17.14230918,-2.301613803,3.822607042,0
573,14.29782867,-2.96365356,-3.949748039,0
577,3.675756459,3.398430831,5.255221365,0
