Rater_ID,Question,Face_ID,Response,Face_Woman,Face_SD
61,halsa,451,3,0,0
61,halsa,292,2,1,1
61,halsa,144,4,0,1
61,halsa,418,3,1,1
61,halsa,132,6,1,0
61,halsa,153,6,1,1
61,halsa,195,6,1,0
61,halsa,184,3,0,0
61,halsa,175,6,1,1
61,halsa,106,4,1,1
61,halsa,162,5,0,0
61,halsa,279,5,1,1
61,halsa,154,7,1,0
61,halsa,281,7,0,1
61,halsa,239,7,0,1
61,halsa,306,7,0,0
61,halsa,263,7,0,1
61,halsa,111,7,1,1
61,halsa,215,7,1,0
61,halsa,146,7,1,1
61,halsa,230,7,0,0
61,halsa,102,7,1,0
61,halsa,202,7,1,0
61,halsa,267,7,0,0
61,halsa,274,7,1,0
61,halsa,302,7,0,1
61,halsa,241,6,0,0
61,halsa,198,5,1,0
61,halsa,180,7,1,0
61,halsa,245,6,0,1
61,halsa,289,7,0,0
61,halsa,130,7,1,1
61,halsa,417,7,1,1
61,halsa,121,6,1,0
61,halsa,298,6,0,1
61,halsa,291,6,1,1
61,halsa,218,7,1,1
61,halsa,240,5,0,1
61,halsa,425,6,1,1
61,halsa,254,6,1,0
61,halsa,228,6,1,1
61,halsa,288,6,1,0
61,halsa,182,4,1,1
61,halsa,244,4,1,1
61,halsa,196,5,1,0
61,halsa,167,7,0,1
61,halsa,293,7,0,0
61,halsa,266,7,0,1
61,halsa,161,7,0,0
61,halsa,163,7,1,0
61,halsa,104,7,1,0
61,halsa,188,7,0,0
61,halsa,145,7,1,1
61,halsa,126,7,1,1
61,halsa,270,7,0,1
61,halsa,243,5,1,1
61,halsa,137,7,0,0
61,halsa,265,7,0,1
61,halsa,248,7,0,1
61,halsa,176,7,1,1
61,halsa,204,7,1,0
61,halsa,140,7,1,0
61,halsa,433,7,1,1
61,halsa,208,7,1,0
61,halsa,101,7,1,0
61,halsa,255,7,0,0
61,halsa,232,7,1,1
61,halsa,259,4,0,1
61,halsa,191,4,0,0
61,halsa,280,1,1,0
61,halsa,573,6,1,0
61,halsa,297,7,0,1
61,halsa,125,7,1,1
61,halsa,286,7,0,1
61,halsa,159,7,0,0
61,halsa,577,7,0,0
61,halsa,179,7,1,0
61,halsa,212,7,1,1
61,halsa,206,7,0,1
61,halsa,203,7,1,1
61,halsa,193,7,1,1
61,halsa,257,7,0,1
61,halsa,235,7,1,1
61,halsa,139,7,1,0
61,halsa,183,7,0,0
61,halsa,135,7,1,1
61,halsa,249,7,1,0
61,halsa,222,6,1,1
61,halsa,131,7,1,1
61,halsa,120,7,1,1
61,halsa,177,7,1,1
61,halsa,152,7,1,1
61,halsa,233,7,1,1
61,halsa,214,7,1,1
61,halsa,107,7,1,1
61,halsa,147,7,1,1
61,halsa,185,4,1,0
61,halsa,238,7,1,0
61,halsa,252,7,0,1
61,halsa,186,7,1,0
61,halsa,213,7,1,1
61,halsa,192,7,0,1
61,halsa,269,7,0,0
61,halsa,103,4,1,0
61,halsa,256,3,0,1
61,halsa,221,1,1,1
61,halsa,268,2,0,0
61,halsa,272,2,0,1
61,halsa,207,3,1,0
61,halsa,119,3,1,0
61,halsa,282,2,0,0
61,halsa,173,3,1,0
61,halsa,136,7,1,1
61,halsa,190,7,0,1
61,halsa,271,7,0,1
61,halsa,115,7,0,1
61,halsa,216,7,1,0
61,halsa,165,7,0,0
61,halsa,217,7,1,1
61,halsa,209,7,1,0
61,halsa,187,7,0,0
61,halsa,189,7,0,1
61,halsa,210,7,1,0
61,halsa,181,7,1,0
61,halsa,156,7,1,0
61,halsa,431,7,1,0
61,halsa,151,7,1,0
61,halsa,220,7,0,0
61,halsa,278,7,0,0
61,halsa,194,7,1,1
